Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Pengawas jaminan produk halal,Future Job,melakukan pengawasan terhadap JPH. Salah satu hal yang harus dipenuhi pengawas JPH adalah menjaga kerahasiaan formula produk sebagai informasi yang diserahkan oeh pelaku usaha kepadanya.,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Manajer hubungan industrial,Future Job,"Mengatur, merencanakan dan mengkoordinir kebijakan yang berhubungan dengan kegiatan hubungan industrial perusahaan atau organisasi serta bertugas mengadakan konsultasi dengan manajer dari departemen atau bagian lain",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,9 Kawasan industri di luar Jawa dan 31 Smelter,Pengawas jaminan produk halal,Future Job,melakukan pengawasan terhadap JPH. Salah satu hal yang harus dipenuhi pengawas JPH adalah menjaga kerahasiaan formula produk sebagai informasi yang diserahkan oeh pelaku usaha kepadanya.,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri,10 Kawasan industri di luar Jawa dan 31 Smelter,Manajer hubungan industrial,Future Job,"Mengatur, merencanakan dan mengkoordinir kebijakan yang berhubungan dengan kegiatan hubungan industrial perusahaan atau organisasi serta bertugas mengadakan konsultasi dengan manajer dari departemen atau bagian lain",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri/Koperasi,Penguatan Jaminan Usaha Serta 350 Korporasi Petani dan Nelayan,Manajer hubungan industrial,Future Job,"Mengatur, merencanakan dan mengkoordinir kebijakan yang berhubungan dengan kegiatan hubungan industrial perusahaan atau organisasi serta bertugas mengadakan konsultasi dengan manajer dari departemen atau bagian lain",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Energi,Pembangunan Energi Terbarukan Green Fuel Berbasis Kelapa Sawit,Ahli Energi Baru Terbarukan,Future Job,"melaksanakan penyiapan bahan perumusan kebijakan, koordinasi, pembinaan, bimbingan, pengendalian serta pengembangan teknis di bidang energi baru terbarukan dan konservasi energi",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Perencana Khusus Kota,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan pembangunan kawasan perkotaan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Perencana Khusus Kawasan,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan penataan lahan terbangun",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Analis Kewilayahan,Future Job,"mengidentifikasi kebutuhan substansi, melakukan perencanaan pekerjaan, menyusun spesifikasi teknis pekerjaan, memberikan jasa konsultasi, menganalisis informasi geospasial kewilayahan ",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Analis Proyek,Future Job,"Melakukan analis sistem yang akan dibangun, membuat statement of purpose, memodelkan proses bisnis, membuat dokumentasi hasil analisis.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,Pembangunan Wilayah Batam – Bintan,Ahli Perencana Kota dan Kawasan Tematik,Future Job,"menerapkan norma, standar, pedoman, kriteria dalam perencanaan tata ruang wilayah dan kota.",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Infrastruktur,"Pengembangan Wilayah Metropolitan: Palembang, Banjarmasin, Makassar, Denpasar",Perencana Khusus Kota,Future Job,"merencanakan, mempelajari, dan mengkoordinasikan pembangunan kawasan perkotaan",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
