Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Pengawas Mutu Hasil Pertanian,JF,Melakukan pengawasan dan pengujian mutu hasil pertanian serta pengembangan sistem pengawasan dan pengujian,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Pariwisata,"10 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Adyatama Kepariwisataan dan Ekonomi Kreatif,JF,Memelopori dan melaksanakan Pengelolaan dan Pengembangan Kepariwisataan dan Ekonomi Kreatif,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Pariwisata,"11 Destinasi Pariwisata Prioritas: Danau Toba, Borobudur Dskt, Lombok- Mandalika, Labuan Bajo, Manado- Likupang, Wakatobi, Raja Ampat, Bromo- Tengger-Semeru, Bangka Belitung, dan Morotai",Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri,11 Kawasan industri di luar Jawa dan 31 Smelter,Perencana,JF,"mempunyai ruang lingkup tugas, tanggung jawab, dan wewenang, untuk melaksanakan kegiatan perencanaan pembangunan di Instansi Pusat dan Instansi Daerah",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri/Koperasi,Penguatan Jaminan Usaha Serta 350 Korporasi Petani dan Nelayan,Penyuluh Pertanian,JF,"melaksanakan kegiatan penyuluhan, evaluasi dan pengembangan metode penyuluhan pertanian",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri/Koperasi,Penguatan Jaminan Usaha Serta 350 Korporasi Petani dan Nelayan,Analis Pasar Hasil Pertanian,JF,"Menyiapkan, melaksanakan, mengkaji kebijakan dan mengembangkan pelayanan di bidang analisis pasar hasil pertanian",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri/Koperasi,Penguatan Jaminan Usaha Serta 350 Korporasi Petani dan Nelayan,Pengawas Mutu Hasil Pertanian,JF,Melakukan pengawasan dan pengujian mutu hasil pertanian serta pengembangan sistem pengawasan dan pengujian,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Industri/Koperasi,Penguatan Jaminan Usaha Serta 350 Korporasi Petani dan Nelayan,Pengawas Mutu Hasil Pertanian,JF,Melakukan pengawasan dan pengujian mutu hasil pertanian serta pengembangan sistem pengawasan dan pengujian,Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
Energi,Pembangunan Energi Terbarukan Green Fuel Berbasis Kelapa Sawit,Analis Pasar Hasil Pertanian,JF,"Menyiapkan, melaksanakan, mengkaji kebijakan dan mengembangkan pelayanan di bidang analisis pasar hasil pertanian",Kompetensi JF Level 2 - 4,Kompetensi Level 6-9
