Bidang,Major Project,Nama Jabatan/Bidang,Jenis Jabatan,Tugas,Level Competency Permenpan 38 Tahun 2017,Level Competency SKKNI
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Perindustrian,JPT,"Memimpin, merumuskan kebijakan teknis operasional, mengkoordinasikan, melaksanakan kerjasama dan mengendalikan pelaksanaan urusan pemerintahan bidang perindustrian, perdagangan dan yang meliputi kesekretariatan, industri agro, industry non agro, perdagangan, pengembangan usaha perdagangan, pengelolaan pasar, unit pelaksana teknis dan kelompok jabatan fungsional",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Perdagangan,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang perdagangan.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi","Bidang Koperasi, usaha kecil dan menengah",JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang Koperasi, usaha kecil dan menengah.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Penanaman Modal,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang penanaman modal.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Tenaga Kerja ,JPT,"Merumuskan kebijakan, melaksanaan kebijakan, melaksanakan evaluasi dan pelaporan dan melaksanakan administrasi di bidang tenaga kerja.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Penguatan Kemampuan Industri Dalam Negeri,JPT,"memberikan rekomendasi terhadap isu-isu strategis kepada
 Menteri terkait dengan bidang penguatan
 kemampuan industri dalam negeri.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Investasi jasa,JPT,"melaksanakan penyiapan koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan serta pengendalian pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang investasi bidang jasa.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Kerja Sama Investasi Pemerintah Dan Badan Usaha,JPT,"melaksanakan penyiapan koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan serta pengendalian pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang kerja sama investasi pemerintah dan badan usaha.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Direktur Event Daerah,JPT,"melaksanakan penyiapan koordinasi dan sinkronisasi perumusan, penetapan, dan pelaksanaan serta pengendalian pelaksanaan kebijakan Kementerian/Lembaga yang terkait dengan isu di bidang strategi dan kebijakan percepatan investasi.",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
Industri,"Industri 4.0 di 5 Sub Sektor Prioritas: Makanan dan Minuman, Tekstil dan Pakaian Jadi, Otomotif, Elektronik, Kimia dan Farmasi",Bidang Pemasaran Pariwisata Nusantara,JPT,"perumusan dan pelaksanaan kebijakan teknis,
 penyusunan norma, standar, prosedur, dan kriteria,
 pemberian bimbingan teknis dan supervisi, pemantauan,
 analisis, evaluasi, dan pelaporan di bidang pemasaran
 pariwisata wilayah Indonesia",Kompetensi JPT Level 4 - 5,Kompetensi Level 8 - 9
