Bidang,Kelompok jabatan,Nama Jabatan,Jenis Jabatan
Infrastruktur,Tata kota dan lalu lintas,Penata Kelola Perumahan,JF Strategis 2020 - 2021
Teknologi Informasi,Informatika,Manggala Informatika,JF Strategis 2020 - 2021
Kelautan dan Perikanan,Keamanan laut,Analis Pengusahaan Jasa Kelautan,JF Strategis 2020 - 2021
Lingkungan hidup,Teknik Lingkungan ,Penyuluh Lingkungan Hidup,JF Strategis 2020 - 2021
Perdagangan,Perdagangan,Metrolog,JF Strategis 2020 - 2021
Perdagangan,Perdagangan,Pengawas Perdagangan,JF Strategis 2020 - 2021
Perdagangan,Perdagangan,Negosiator Perdagangan,JF Strategis 2020 - 2021
Perdagangan,Perdagangan,Pemeriksa Perdagangan Berjangka Komoditi,JF Strategis 2020 - 2021
Perdagangan,Perdagangan,Analis Perdagangan,JF Strategis 2020 - 2021
Perdagangan,Perdagangan,Penjamin Mutu Produk,JF Strategis 2020 - 2021
Organisasi/,Kelembagaan,Penata Kelola Perusahaan Negara,JF Strategis 2020 - 2021
Tata Kelola,Kelembagaan,Penata Kelola Perusahaan Negara,JF Strategis 2020 - 2022
Energi,Energi panas bumi,Inspektur panas bumi,JF Strategis 2020 - 2021
Keuangan,Keuangan,Pembina Profesi Keuangan,JF Strategis 2020 - 2021
Keamanan,Intelijen,Penata Kelola Intelijen,JF Strategis 2020 - 2021
Keamanan,Intelijen,Pengawas Intelijen,JF Strategis 2020 - 2021
Keamanan,Intelijen,Pengembang Sistem Intelijen,JF Strategis 2020 - 2021
Keamanan,Intelijen,Analis Intelijen,JF Strategis 2020 - 2021
Pariwisata,Pariwisata,Adyatama Kepariwisataan dan Ekonomi Kreatif,JF Strategis 2020 - 2021
Hukum,Hukum,Penata Mediasi Sengketa Hak Asasi Manusia,JF Strategis 2020 - 2021
Hukum,Hukum,Kurator Keperdataan,JF Strategis 2020 - 2021
Hukum,Hukum,Analis Hukum,JF Strategis 2020 - 2021
Hukum,Hukum,Penata Kehakiman,JF Strategis 2020 - 2021
Hukum,Hukum,Analis Pemantauan Peraturan Perundang-undangan Legislatif,JF Strategis 2020 - 2021
Perhubungan,Penerbangan,Inspektur Navigasi Penerbangan,JF Strategis 2020 - 2021
Perhubungan,Penerbangan,Inspektur Kelaikudaraan Pesawat Udara,JF Strategis 2020 - 2021
Perhubungan,Penerbangan,Inspektur Pengoperasian Pesawat Udara,JF Strategis 2020 - 2021
Pertanahan,Pertanahan,Penata Kadastral,JF Strategis 2020 - 2021
Pertanahan,Pertanahan,Penata Pertanahan,JF Strategis 2020 - 2021
Pendidikan,Mutu pendidikan,Pengembang Kurikulum,JF Strategis 2020 - 2021
Pendidikan,Mutu pendidikan,Pengembang Penilaian Pendidikan,JF Strategis 2020 - 2021
Pendidikan,Mutu pendidikan,Analis Standardisasi,JF Strategis 2020 - 2021
Penelitian,Penelitian,Analis Pemanfaatan Ilmu Pengetahuan Dan Teknologi,JF Strategis 2020 - 2021
Penelitian,Penelitian,Kurator Koleksi Hayati,JF Strategis 2020 - 2021
Penelitian,Penelitian,Penata Penerbitan Ilmiah,JF Strategis 2020 - 2021
Penelitian,Penelitian,Analis Data Ilmiah,JF Strategis 2020 - 2021
Penanggulangan Bencana,Penanggulangan Bencana,Analis Kebencanaan,JF Strategis 2020 - 2021
Penanggulangan Bencana,Penanggulangan Bencana,Penata Penanggulangan Bencana,JF Strategis 2020 - 2021
