Nama Jabatan,Instansi Pengampu,Level Pemerintahan,,,,,,,,
Direktur Kompensasi Aparatur Sipil Negara,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Pengawasan dan Pengendalian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Inspektur Utama,Tertentu (BKKBN),Pemerintah Pusat,,,,,,,,
Kepala Badan kebijakan Fiskal,Tertentu (Kementerian Keuangan),Pemerintah Pusat,,,,,,,,
Kepala Badan Kepegawaian Daerah,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Badan Kesatuan Bangsa dan Politik,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Hukum dan Hubungan Masyarakat,Instansi Pusat - Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Keuangan,Instansi Pusat - Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Perencanaan,Instansi Pusat - Daerah,Pemerintah Daerah,,,,,,,,
Kepala Biro Sumber Daya Manusia,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Umum,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Biro Umum dan Keuangan,Instansi Pusat - Daerah,Pemerintah Pusat,,,,,,,,
Kepala Dinas Kesehatan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pemberdayaan Masyarakat dan Desa,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Pendidikan dan Kebudayaan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Kepala Dinas Perindustrian, Perdagangan, Energi dan Sumber Daya Mineral",Instansi Daerah,Pemerintah Daerah,,,,,,,,
Kepala Dinas Perkebunan dan Peternakan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Sekretaris Jenderal,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Sekretaris Utama,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Asisten Administrasi dan Kesejahteraan Masyarakat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Administrasi Pemerintahan Umum Kesejahteraan Rakyat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Administrasi Pengembangan Ekonomi,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Administrasi Perekonomian Pembangunan Kesejahteraan Rakyat,Instansi Daerah,Pemerintah Daerah,,,,,,,,
"Asisten Deputi Bidang Usaha Pertambangan, Industri Strategis dan media",Tertentu (Kementerian Bumn),Pemerintah Pusat,,,,,,,,
Asisten Deputi Infrastruktur Pemerintahan Deputi Bidang Pengelolaan Infrastruktur Kawasan Perbatasan,Tertentu (Badan Nasional Pengelola Perbatasan),Pemerintah Pusat,,,,,,,,
Asisten Deputi Investasi Bidang Jasa,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Kerja Sama Investasi Pemerintah Dan Badan Usaha,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengelolaan Perubahan Iklim dan Kebencanaan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengelolaan Ruang Laut Dan Pesisir,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengelolaan Sampah Dan Limbah,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengembangan Ekonomi Kreatif,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pengembangan Perikanan Budidaya,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Pertambangan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Planologi Kehutanan dan Tata Lingkungan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Deputi Strategi Dan Kebijakan Percepatan Investasi,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Asisten Kesejahteraan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Asisten Perekonomian dan Pembangunan,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Deputi Bidang Administrasi,Instansi Pusat,Pemerintah Pusat,,,,,,,,
Deputi Bidang Koordinasi Pariwisata dan Ekonomi Kreatif,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Deputi Bidang Koordinasi Pengelolaan Lingkungan dan Kehutanan,Tertentu (Kementerian Koordinator Bidang Kemaritiman dan Investasi),Pemerintah Pusat,,,,,,,,
Deputi Bidang Pengkajian dan Penginderaan,Tertentu (Dewan Ketahanan Nasional dan Sekretariat Jenderal Dewan Ketahanan nasional),Pemerintah Pusat,,,,,,,,
Deputi Bidang Penindakan,Tertentu (BPOM),Pemerintah Pusat,,,,,,,,
Deputi Gubernur Bidang Pengendalian Kependudukan dan Permukiman,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Deputi Gubernur Bidang Budaya dan Pariwisata,Instansi Daerah,Pemerintah Daerah,,,,,,,,
Direktur Arsip Kepegawaian,Tertentu (Badan Kepegawaian Negara),Pemerintah Pusat,,,,,,,,
Direktur Asia Selatan dan Tengah,Tertentu (Kemenlu),Pemerintah Pusat,,,,,,,,
Direktur Bina Ketahanan Keluarga Lansia dan Rentan,Tertentu (BKKBN),Pemerintah Pusat,,,,,,,,
Direktur Fasilitasi Keuangan dan Aset Pemerintahan Desa,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
"Direktur Gizi Masyarakat, Direktorat Jenderal Kesehatan Masyarakat",Tertentu (Kementerian Kesehatan),Pemerintah Pusat,,,,,,,,
Direktur Intelijen Obat dan Makanan,Tertentu (BPOM),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Hubungan Hukum Keagrariaan,Tertentu (Kementerian Agraria dan Tata Ruang),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Otonomi Daerah,Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
Direktur Jenderal Pendidikan Anak Usia Dini dan Pendidikan Dasar dan Pendidikan menengah,Tertentu (Kementerian Pendidikan dan Kebudayaan),Pemerintah Pusat,,,,,,,,
"Direktur Kawasan, Perkotaan dan Batas Negara",Tertentu (Kemendagri),Pemerintah Pusat,,,,,,,,
