Nama JA,Tugas,Rekomendasi JF,Hasil Analisis,,,,,,,,,,,,,,,,,,,,,,
Analis Advokasi Hukum,Melakukan kegiatan analisis dan penelaahan dalam rangka penyusunan rekomendasi di bidang advokasi hukum,Analis Hukum,"Tugas jabatan fungsional analis hukum yaitu melakukan kegiatan analisis dan evaluasi di bidang peraturan perundangundangan dan hukum tidak tertulis, pembentukan peraturan perundang-undangan, permasalahan hukum, pengawasan pelaksanaan peraturan perundang-undangan, dokumen perjanjian dan pelaksanaan perjanjian, pelayanan hukum, perizinan, informasi hukum, dan advokasi hukum",,,,,,,,,,,,,,,,,,,,,,
Analis Diklat,Melakukan kegiatan analisis dan penelaahan dalam rangka penyusunan rekomendasi di bidang diklat,Analis Pengembangan Kompetensi,Melakukan kegiatan analisis di bidang pengembangan kompetensiasn pada instansi pemerintah,,,,,,,,,,,,,,,,,,,,,,
Analis Kelembagaan,Melakukan kegiatan analisis dan penelaahan dalam rangka penyusunan rekomendasi di bidang kelembagaan,Analis Kelembagaan (Usulan nama JF Baru),"Membantu organisasi untuk mencapai efisiensi yang lebih besar dan memecahkan masalah organisasi dengan mempelajari dan menerapkan struktur, metode, sistem dan prosedur dalam organisasi",,,,,,,,,,,,,,,,,,,,,,
Analis Laboratorium,"Melakukan kegiatan analisis dan penelaahan laboratorium pendidikan dalam rangka penyusunan rekomendasi kebijakan di bidang pendidikan, Melakukan kegiatan analisis dan penelaahan laboratorium tumbuhan dan sarana dalam rangka penyusunan rekomendasi kebijakan di bidang pertanian",Pranata Laboratorium Sesuai Dengan Bidang Masing-Masing,"Dalam Permenpan No 41 terdapat beberapa nama analis laboratorium, sehingga diusulkan tugas dari jabatan tersebut nantinya sesuai dengan bidang masing-masing. Contoh : Melakukan pengelolaan standar ukuran dan laboratorium metrologi legal ...... Pengelolaan laboratorium di satuan pendidikan...melakukan kegiatan pelayanan pranata laboratorium kesehatan..",,,,,,,,,,,,,,,,,,,,,,
Analis Sistem Informasi Pelaksanaan Anggaran,Melakukan kegiatan analisis dan penelaahan dalam rangka penyusunan rekomendasi di bidang sistem informasi pelaksanaan anggaran,Analis Anggaran ,Melaksanakan kegiatan analisis di bidang penganggaran dalam pengelolaan apbn.,,,,,,,,,,,,,,,,,,,,,,
Analis Statistik,Melakukan kegiatan analisis dan penelaahan dalam rangka penyusunan rekomendasi kebijakan di bidang statistik,Analis Kebijakan Di Bidang Statistik,Melaksanakan kajian dan analisis kebijakan.,,,,,,,,,,,,,,,,,,,,,,
Pengawas Kepariwisataan,Melakukan kegiatan pengawasan kepariwisataan di bidang pariwisata,Adyatama Kepariwisataan Dan Ekonomi Kreatif,Memelopori dan melaksanakan pengelolaan dan pengembangan kepariwisataan dan ekonomi kreatif.,,,,,,,,,,,,,,,,,,,,,,
Pengelola Dokumen Dan Informasi Hukum,Melakukan kegiatan pengelolaan dan penyusunan laporan di bidang dokumen dan informasi hukum,Analis Hukum,"Tugas jabatan fungsional analis hukum yaitu melakukan kegiatan analisis dan evaluasi di bidang peraturan perundangundangan dan hukum tidak tertulis, pembentukan peraturan perundang-undangan, permasalahan hukum, pengawasan pelaksanaan peraturan perundang-undangan, dokumen perjanjian dan pelaksanaan perjanjian, pelayanan hukum, perizinan, informasi hukum, dan advokasi hukum",,,,,,,,,,,,,,,,,,,,,,
Pengelola Informasi Produk Hukum,Melakukan kegiatan pengelolaan dan penyusunan laporan di bidang informasi produk hukum,Analis Hukum,"Tugas jabatan fungsional analis hukum yaitu melakukan kegiatan analisis dan evaluasi di bidang peraturan perundangundangan dan hukum tidak tertulis, pembentukan peraturan perundang-undangan, permasalahan hukum, pengawasan pelaksanaan peraturan perundang-undangan, dokumen perjanjian dan pelaksanaan perjanjian, pelayanan hukum, perizinan, informasi hukum, dan advokasi hukum",,,,,,,,,,,,,,,,,,,,,,
Pengelola Ketersediaan Dan Kerawanan Pangan,Melakukan kegiatan pengelolaan ketersediaan dan kerawanan pangan,Analis Ketahanan Pangan,"Melaksanakan kegiatan analisis ketahanan pangan yang meliputi ketersediaan, keterjangkauan, dan pemanfaatan pangan.",,,,,,,,,,,,,,,,,,,,,,
Pengelola Penganekaragaman Pangan,Melakukan kegiatan pengelolaan penganekaragaman pangan di bidang pertanian,Analis Ketahanan Pangan,"Melaksanakan kegiatan analisis ketahanan pangan yang meliputi ketersediaan, keterjangkauan, dan pemanfaatan pangan.",,,,,,,,,,,,,,,,,,,,,,
Penyuluh Pangan,Melakukan kegiatan penyuluhan di bidang pangan,Analis Ketahanan Pangan,"Melaksanakan kegiatan analisis ketahanan pangan yang meliputi ketersediaan, keterjangkauan, dan pemanfaatan pangan.",,,,,,,,,,,,,,,,,,,,,,
Penyusun Program Pengawasan Prasarana Wilayah Dan Lingkungan Hidup,Melakukan kegiatan penyusunan program di bidang pengawasan prasarana wilayah dan lingkungan hidup,Pengawas Lingkungan Hidup,Melaksanakan pengawasan lingkungan hidup secara langsung maupun tidak langsung untuk mengetahui tingkat ketaatan penanggung jawab usaha dan/atau kegiatan terhadap ketentuan dalam izin lingkungan dan peraturan perundangundangan di bidang perlindungan dan pengelolaan lingkungan hidup.,,,,,,,,,,,,,,,,,,,,,,
Analis Olahraga,Melakukan kegiatan analisis dan penelaahan dalam rangka penyusunan rekomendasi kebijakan di bidang keolahragaan,Analis Kebijakan Di Bidang Olahraga,Melaksanakan kajian dan analisis kebijakan.,,,,,,,,,,,,,,,,,,,,,,
Analis Persandian,Melakukan kegiatan analisis dan penelahaan dalam rangka penyusunan rekomendasi kebijakan di bidang persandian,Analis Kebijakan Di Bidang Persandian,Melaksanakan kajian dan analisis kebijakan.,,,,,,,,,,,,,,,,,,,,,,
